time,fold,active_sleeves,gross_pnl_bps,cost_bps,net_pnl_bps,turnover,gross_exposure,net_exposure,n_symbols
2025-04-03 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-03 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-03 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-06 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-06 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-06 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-06 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-06 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-06 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-07 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-07 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-07 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-07 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-07 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-07 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-08 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-08 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-08 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-08 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-08 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-08 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-09 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-09 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-09 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-09 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-09 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-09 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-10 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-10 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-10 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-10 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-10 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-10 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-11 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-12 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-12 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-12 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-12 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-12 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-12 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-13 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-13 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-13 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-13 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-13 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-13 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-14 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-14 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-14 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-14 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-14 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-14 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-15 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-15 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-15 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-15 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-15 17:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-15 21:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-16 01:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-16 05:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-16 09:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-04-16 13:30:00+00:00,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
